Date,Season,HomeTeam,AwayTeam,Result,home_form_points,home_form_gf,home_form_ga,home_form_gd,away_form_points,away_form_gf,away_form_ga,away_form_gd,form_points_diff,form_gd_diff,home_trend,away_trend,trend_diff,home_home_ppg,home_home_gf,home_home_ga,away_away_ppg,away_away_gf,away_away_ga,home_advantage,home_days_rest,away_days_rest,rest_diff,home_season_points,home_season_gd,home_season_position,away_season_points,away_season_gd,away_season_position,position_diff,points_diff_season,h2h_home_wins,h2h_draws,h2h_away_wins,season_phase
2025-09-13,2526,Wolfsburg,FC Koln,D,1.6,1.6,1.0,0.6000000000000001,3.0,3.1,0.7,2.4000000000000004,-1.4,-1.8000000000000003,-1.6666666666666667,0.0,-1.6666666666666667,1.0,1.0,1.0,3.0,1.0,0.0,-2.0,13,13,0,8,4,6,12,8,2,-4,-4,0,0,0,1
2025-09-13,2526,Heidenheim,Dortmund,A,0.0,0.3,2.3,-1.9999999999999998,2.4,3.0,0.9,2.1,-2.4,-4.1,0.0,1.6666666666666665,-1.6666666666666665,0.0,1.0,3.0,1.0,3.0,3.0,-1.0,14,13,1,0,-8,17,8,6,4,-13,-8,0,0,0,1
2025-09-13,2526,Mainz,RB Leipzig,A,0.7,0.7,1.0,-0.30000000000000004,2.1,1.4,1.8,-0.40000000000000013,-1.4000000000000001,0.10000000000000009,0.8333333333333334,2.5,-1.6666666666666665,0.0,0.0,1.0,0.0,0.0,6.0,0.0,13,14,-1,2,-2,14,6,-8,12,-2,-4,0,0,0,1
2025-09-13,2526,Freiburg,Stuttgart,H,0.0,1.0,3.7,-2.7,2.1,1.0,0.6,0.4,-2.1,-3.1,0.0,2.5,-2.5,0.0,1.0,3.0,0.0,1.0,2.0,0.0,13,14,-1,0,-10,18,6,0,9,-9,-6,0,0,0,1
2025-09-14,2526,St Pauli,Augsburg,H,2.4,2.3,0.9,1.4,0.9,2.3,2.4,-0.10000000000000009,1.5,1.5,1.6666666666666665,-2.5,4.166666666666666,1.0,3.0,3.0,3.0,3.0,1.0,-2.0,16,15,1,8,4,8,6,2,10,2,2,0,0,0,1
2025-09-14,2526,M'gladbach,Werder Bremen,A,0.3,0.0,0.7,-0.7,0.7,2.4,3.3,-0.8999999999999999,-0.39999999999999997,0.19999999999999996,-0.8333333333333334,0.8333333333333334,-1.6666666666666667,1.0,0.0,0.0,0.0,1.0,4.0,1.0,15,15,0,2,-2,14,2,-6,16,2,0,0,0,0,1
2025-09-14,2526,M'gladbach,Werder Bremen,A,0.3,0.0,0.7,-0.7,0.7,2.4,3.3,-0.8999999999999999,-0.39999999999999997,0.19999999999999996,-0.8333333333333334,0.8333333333333334,-1.6666666666666667,1.0,0.0,0.0,0.0,1.0,4.0,1.0,15,15,0,2,-2,14,2,-6,16,2,0,0,0,0,1
2025-09-14,2526,St Pauli,Augsburg,H,2.4,2.3,0.9,1.4,0.9,2.3,2.4,-0.10000000000000009,1.5,1.5,1.6666666666666665,-2.5,4.166666666666666,1.0,3.0,3.0,3.0,3.0,1.0,-2.0,16,15,1,8,4,8,6,2,10,2,2,0,0,0,1
2025-09-19,2526,Stuttgart,St Pauli,H,1.0,1.0,1.9333333333333333,-0.9333333333333333,2.8666666666666667,2.066666666666667,0.8,1.2666666666666668,-1.8666666666666667,-2.2,-1.0,1.0,-2.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,6,5,1,6,-4,12,14,6,4,-8,-8,0,0,0,1
2025-09-19,2526,Stuttgart,St Pauli,H,1.0,1.0,1.9333333333333333,-0.9333333333333333,2.8666666666666667,2.066666666666667,0.8,1.2666666666666668,-1.8666666666666667,-2.2,-1.0,1.0,-2.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,6,5,1,6,-4,12,14,6,4,-8,-8,0,0,0,1
